loan_id,customer_id,loan_amount,interest_rate,loan_term,issue_date,loan_status
L001,C001,300000,12.5,36,1/15/2022,Paid
L002,C002,200000,15.2,36,2/10/2022,Late
L003,C003,500000,10.8,60,11/5/2021,Paid
L004,C004,150000,18,36,3/1/2022,Late
L005,C005,250000,13.2,36,1/20/2022,Paid
L006,C006,450000,11,60,10/18/2021,Paid
L007,C007,180000,16.5,36,4/12/2022,Default
L008,C008,280000,12,36,2/25/2022,Paid
L009,C009,420000,11.5,60,12/15/2021,Late
L010,C010,160000,17,36,5/5/2022,Late
L011,C011,470000,10.5,60,9/10/2021,Paid
L012,C012,220000,14.8,36,3/18/2022,Late
L013,C013,200000,15,36,4/1/2022,Paid
L014,C014,520000,9.8,60,8/22/2021,Paid
L015,C015,140000,18.5,36,6/10/2022,Default
L016,C016,390000,11.9,60,12/1/2021,Paid
L017,C017,260000,13.5,36,2/8/2022,Late
L018,C018,600000,9.5,60,7/15/2021,Paid
L019,C019,170000,17.8,36,5/20/2022,Late
L020,C020,430000,11.2,60,10/30/2021,Paid
