payment_id,loan_id,due_date,payment_date,amount_due,amount_paid,days_late,payment_status
P001,L001,1/15/2023,1/15/2023,9000,9000,0,On Time
P002,L002,1/10/2023,1/18/2023,6500,6500,8,Late
P003,L003,1/5/2023,1/5/2023,11000,11000,0,On Time
P004,L004,1/1/2023,1/25/2023,5000,5000,24,Late
P005,L005,1/20/2023,1/20/2023,7500,7500,0,On Time
P006,L006,1/18/2023,1/18/2023,10500,10500,0,On Time
P007,L007,1/12/2023,2/15/2023,4800,3000,34,Partial
P008,L008,1/25/2023,1/25/2023,8200,8200,0,On Time
P009,L009,1/15/2023,1/30/2023,9800,9800,15,Late
P010,L010,1/5/2023,1/28/2023,5200,5200,23,Late
P011,L011,1/10/2023,1/10/2023,10800,10800,0,On Time
P012,L012,1/18/2023,2/2/2023,6700,6700,15,Late
P013,L013,1/20/2023,1/20/2023,6400,6400,0,On Time
P014,L014,1/22/2023,1/22/2023,11500,11500,0,On Time
P015,L015,1/10/2023,2/20/2023,4500,2000,41,Partial
P016,L016,1/1/2023,1/1/2023,9200,9200,0,On Time
P017,L017,1/8/2023,1/22/2023,7200,7200,14,Late
P018,L018,1/15/2023,1/15/2023,12000,12000,0,On Time
P019,L019,1/12/2023,1/29/2023,5100,5100,17,Late
P020,L020,1/18/2023,1/18/2023,9800,9800,0,On Time
